"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"P. Smyth","England 2.","Queens Park Rangers","LW, LAMF, RAMF","28","500000","2026-06-30","24","1235","3","2.18","0","0.34","Northern Ireland","right","173","no","6.78","5.68","51.28","2.33","25","0.07","4.26","0.22","0.16","0.15","18","1.31","44.44","16.667","3.13","46.51","3.94","37.04","9.4","40.31","2.04","2.55","0.36","19.75","71.96","5.83","62.5","1.53","42.86","0.02","0","0.15","1.53","57.14","2.99","58.54","0.66","4.01","81.82","","","0","0","","",""
"J. Cajuste","England 2.","Ipswich Town","LDMF","26","0","2028-06-30","26","1234","1","2.19","0","0.89","Sweden","right","188","no","6.71","3.87","64.15","2.19","33.33","0.36","6.29","0.07","0.16","0","15","1.09","33.33","6.667","0.95","38.46","3.14","46.51","9.99","45.26","1.6","2.41","0.22","36.76","82.94","10.14","64.03","1.9","46.15","0.07","0.07","0.22","5.25","73.61","1.97","40.74","0.95","4.81","63.64","","","0","0","","",""
"H. Armstrong","England 2.","Preston North End","LCMF, RCMF","18","0","2028-06-30","17","1219","1","0.87","1","0.38","England","right","185","no","8.34","5.02","66.18","2.36","62.5","0.59","5.36","0.07","0.06","0","9","0.66","22.22","11.111","0.74","30","2.14","62.07","6.2","45.24","1.33","1.62","0.37","31.75","81.86","10.26","71.94","0.74","50","0.03","0.07","0.15","4.95","76.12","1.62","54.55","0.81","5.83","69.62","","","0","0","","",""
"P. Daka","England 2.","Leicester City","CF","27","12000000","2026-06-30","27","1216","2","3.54","3","0.59","Zambia","right","183","no","4.22","2.89","64.1","5.92","37.5","0.3","3.03","0.15","0.26","0","23","1.7","34.78","8.696","0.3","0","0.74","60","6.96","23.4","3.48","0.37","0","13.77","78.49","1.92","30.77","0.3","25","0.04","0.07","0.3","0.59","62.5","0.07","100","0.59","1.11","26.67","","","0","0","","",""
"H. Choudhury","England 2.","Leicester City","RB, LDMF","28","4500000","2027-06-30","22","1208","0","0.14","0","1.33","England","right","178","no","9.76","6.41","60.47","2.16","65.52","0.75","7.42","0","0.01","0","5","0.37","0","0","0.52","57.14","0.22","66.67","2.53","47.06","0.3","0.3","0.07","49.32","87.16","16.69","75","4.4","52.54","0.1","0.07","0.3","6.33","69.41","1.64","50","0.6","8.12","66.97","","","0","0","","",""
"D. Ozoh","England 2.","Derby County","LCMF, LDMF","20","0","2026-05-31","18","1196","1","0.05","0","0.08","Spain","right","0","yes","9.41","8.73","62.93","1.66","40.91","0.15","4.65","0.08","0","0","2","0.15","50","50","0.3","0","1.66","77.27","5.04","50.75","0.6","1.2","0","32.88","90.62","8.35","78.38","0.75","70","0.01","0.08","0.08","3.54","87.23","0.3","50","0.15","3.31","68.18","","","0","0","","",""
"R. Leonard","England 2.","Millwall","RB","33","300000","","18","1196","0","0.55","0","1.1","England","right","185","no","10.16","7.83","72.12","5.64","60","0.08","4.84","0","0.04","0","4","0.3","25","0","2.26","30","0.9","66.67","2.33","54.84","1.05","0.83","0.08","31.15","65.46","15.5","53.4","6.47","39.53","0.08","0","0.38","7.9","49.52","1.96","38.46","0.3","8.65","73.04","","","0","0","","",""
"Z. Inoussa","England 2.","Swansea City","LAMF, LW, RAMF","23","2000000","2030-06-30","25","1196","0","0.99","2","1.4","Sweden","right","177","no","4.44","4.29","47.37","4.44","33.9","0","3.77","0","0.07","0","15","1.13","33.33","0","1.96","19.23","5.27","48.57","13.02","36.99","2.93","1.88","0.3","26.11","76.95","5.72","64.47","0.68","77.78","0.11","0","0.45","1.66","72.73","1.88","48","1.2","3.01","62.5","","","0","0","","",""
"N. Irankunda","England 2.","Watford","CF, LW","20","0","2030-06-30","26","1194","2","2.68","2","2.78","Tanzania","right","175","no","4.15","4.3","61.4","4.52","45","0","2.15","0.15","0.2","0","33","2.49","30.3","6.061","1.21","37.5","3.62","52.08","11.98","41.51","3.54","3.32","0.98","23.22","77.27","5.43","68.06","1.13","46.67","0.21","0.08","0.6","2.64","65.71","1.58","61.9","1.21","2.41","81.25","","","0","0","","",""
"A. Pears","England 2.","Blackburn Rovers","GK","27","1200000","2027-06-30","13","1194","0","0","0","0","England","right","185","no","1.06","0","0","0.53","85.71","0","1.54","0","0","0","0","0","0","0","0","0","0","0","0.15","100","0","0","0","21.71","84.03","13.04","74.57","9.95","68.18","0","0","0","3.09","58.54","0.08","0","0","7.84","80.77","0.98","2.79","64.86","0.84","-1.8","-0.136","1.51"
"M. Osmajić","England 2.","Preston North End","CF","26","2000000","2027-06-30","16","1194","6","4.1","0","0.03","Montenegro","both","186","no","1.88","1.36","61.11","4.3","21.05","0.15","1.28","0.38","0.31","0","17","1.28","64.71","35.294","0.08","0","1.13","33.33","6.63","27.27","1.88","0.75","0.23","9.27","71.54","1.81","50","0.38","20","0","0","0","0.83","27.27","0.45","83.33","0.45","0.83","45.45","","","0","0","","",""
"L. Lindsay","England 2.","Preston North End","CB","30","2200000","2027-06-30","18","1181","0","0.87","0","0","Scotland","left","193","no","11.13","5.72","61.33","8","67.62","0.91","8.51","0","0.07","0","5","0.38","40","0","0.08","0","0","0","1.22","43.75","0.69","0.08","0","31.09","80.39","13.95","63.93","4.88","35.94","0","0","0","3.28","30.23","0.38","40","0.23","5.33","57.14","","","0","0","","",""
"M. Pack","England 2.","Portsmouth","RDMF, RCMF","34","300000","2026-06-30","20","1174","1","1.53","0","1.87","England","right","188","no","6.9","4.52","64.41","4.6","55","0.15","5.73","0.08","0.12","0.08","11","0.84","27.27","9.091","1.23","56.25","0.31","75","2.22","51.72","0.69","0.77","0","53.66","84.43","18.25","72.69","4.68","49.18","0.14","0","0.15","9.66","71.43","2.22","48.28","0.46","10.5","79.56","","","0","0","","",""
